Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
Hjärtfrekv,DonorHb_Cat,4,4,88.051925573,0.443220912,88.071014492,0.4418241808,87.169403773,0.4432184039,87.164159105,0.4418317366,-0.8825218,0.6268072514,-2.111064013,0.3460204124,-0.906855387,0.6248390915,-2.131540007,0.3178292321,,,,
Hjärtfrekv,DonorHb_Cat,5,5,85.64546669,0.448192788,85.738527227,0.446794184,84.76294489,0.4481914897,84.83167184,0.4468033585,-0.8825218,0.6338394013,-2.124847027,0.3598034263,-0.906855387,0.631868882,-2.145318396,0.3316076215,,,,
Hjärtfrekv,Storage_Cat,1,,87.314005572,0.4499654222,87.006500738,0.4478924796,86.406288028,0.4499641488,86.078369512,0.4479012744,-0.907717544,0.6363463022,-2.154956296,0.3395212085,-0.928131226,0.633421838,-2.169638028,0.3133755769,1,,,
Hjärtfrekv,Storage_Cat,2,,87.536075541,0.4496184827,87.274336389,0.4475381339,86.628357997,0.4496165602,86.346205163,0.4475461108,-0.907717544,0.6358551967,-2.153993729,0.3385586418,-0.928131226,0.6329201392,-2.168654698,0.3123922471,2,,,
Hjärtfrekv,Storage_Cat,3,,88.125173957,0.4497369682,87.902074796,0.4476602308,87.217456413,0.4497348555,86.97394357,0.4476678881,-0.907717544,0.636022626,-2.154321891,0.3388868032,-0.928131226,0.6330925843,-2.168992691,0.3127302396,3,,,
Hjärtfrekv,Storage_Cat,4,,88.138405289,0.4502318253,87.813949337,0.4481444715,87.230687745,0.4502302402,86.885818112,0.4481524913,-0.907717544,0.6367228327,-2.155694296,0.3402592083,-0.928131226,0.6337776604,-2.17033544,0.3140729887,4,,,
Hjärtfrekv,Storage_Cat,5,,87.141958054,0.4523583901,86.998380951,0.4502773107,86.23424051,0.4523563489,86.070249725,0.4502844563,-0.907717544,0.639729927,-2.161588201,0.3461531132,-0.928131226,0.6367933323,-2.176246157,0.3199837057,5,,,
Hjärtfrekv,DonorSex,1,,87.80037486,0.4413696394,87.76007439,0.4400610216,86.901968868,0.4413678348,86.836797793,0.4400690841,-0.898405992,0.624189654,-2.121817714,0.3250057297,-0.923276597,0.6223459661,-2.14307469,0.2965214966,,1,,
Hjärtfrekv,DonorSex,2,,87.975050343,0.4413843203,87.929355564,0.4400754635,87.076644351,0.441382173,87.006078968,0.4400831543,-0.898405992,0.6242101736,-2.121857932,0.3250459481,-0.923276597,0.6223661272,-2.143114206,0.2965610123,,2,,
Hjärtfrekv,DonorParity,0,,87.800629496,0.4413277879,87.758194268,0.4400253738,86.905208479,0.4413259146,86.83779879,0.4400334157,-0.895421017,0.6241304185,-2.118716638,0.3278746029,-0.920395479,0.6222955379,-2.140094733,0.2993037758,,,0,
