Abbreviation,TimeFromTransfusion,Z_Mean,VitalName,PlotOrder,Pred,LCL,UCL,VitalParam
ARTd,-639.5766667,0.565695381,Diastolic Blood Pressure (mmHg),3,0.039029679,-0.023115379,0.101174737,ARTd
ARTd,-638.989,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.039140427,-0.022911092,0.101191945,ARTd
ARTd,-638.3476667,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.039257388,-0.022698427,0.101213204,ARTd
ARTd,-638.129,0.309735919,Diastolic Blood Pressure (mmHg),3,0.03929634,-0.022628346,0.101221026,ARTd
ARTd,-637.3233333,0.221691808,Diastolic Blood Pressure (mmHg),3,0.0394358,-0.02238067,0.101252269,ARTd
ARTd,-637.1383333,0.064921282,Diastolic Blood Pressure (mmHg),3,0.039466925,-0.022326117,0.101259966,ARTd
ARTd,-636.8448333,0.175626535,Diastolic Blood Pressure (mmHg),3,0.039515618,-0.022241331,0.101272567,ARTd
ARTd,-636.7173333,-0.172463473,Diastolic Blood Pressure (mmHg),3,0.03953651,-0.022205169,0.101278188,ARTd
ARTd,-636.108,0.082753,Diastolic Blood Pressure (mmHg),3,0.039634165,-0.022037912,0.101306241,ARTd
ARTd,-635.3266667,-0.028695241,Diastolic Blood Pressure (mmHg),3,0.039754114,-0.021836758,0.101344986,ARTd
ARTd,-634.1176667,0.26850007,Diastolic Blood Pressure (mmHg),3,0.039928116,-0.021554416,0.101410647,ARTd
ARTd,-633.8426667,-0.177292897,Diastolic Blood Pressure (mmHg),3,0.039965737,-0.021495013,0.101426486,ARTd
ARTd,-633.2916667,-0.26013609,Diastolic Blood Pressure (mmHg),3,0.040038943,-0.021381278,0.101459165,ARTd
ARTd,-632.5426667,-0.288741139,Diastolic Blood Pressure (mmHg),3,0.040133827,-0.021237843,0.101505497,ARTd
ARTd,-632.3563333,-0.492691421,Diastolic Blood Pressure (mmHg),3,0.040156606,-0.021204135,0.101517348,ARTd
ARTd,-631.4085,1.382982487,Diastolic Blood Pressure (mmHg),3,0.040267411,-0.021044663,0.101579485,ARTd
ARTd,-630.7903333,-0.288741139,Diastolic Blood Pressure (mmHg),3,0.040335135,-0.020951295,0.101621566,ARTd
ARTd,-630.5118333,0.095136138,Diastolic Blood Pressure (mmHg),3,0.040364481,-0.020911932,0.101640893,ARTd
ARTd,-630.0215,0.082753,Diastolic Blood Pressure (mmHg),3,0.040414393,-0.020846656,0.101675443,ARTd
ARTd,-629.3881667,-0.363039967,Diastolic Blood Pressure (mmHg),3,0.040475563,-0.020769855,0.101720981,ARTd
ARTd,-629.168,0.172778413,Diastolic Blood Pressure (mmHg),3,0.04049596,-0.020745116,0.101737036,ARTd
ARTd,-628.2166667,0.095136138,Diastolic Blood Pressure (mmHg),3,0.04057897,-0.020649654,0.101807594,ARTd
ARTd,-627.8101667,-0.462600396,Diastolic Blood Pressure (mmHg),3,0.040611914,-0.020614444,0.101838272,ARTd
ARTd,-626.9138333,7.995578162,Diastolic Blood Pressure (mmHg),3,0.040679244,-0.020548367,0.101906856,ARTd
ARTd,-626.5543333,-0.437338794,Diastolic Blood Pressure (mmHg),3,0.040704206,-0.020526264,0.101934675,ARTd
ARTd,-625.7536667,-0.363039967,Diastolic Blood Pressure (mmHg),3,0.04075561,-0.020485919,0.101997139,ARTd
ARTd,-625.5313333,-0.12194027,Diastolic Blood Pressure (mmHg),3,0.040768861,-0.020476863,0.102014585,ARTd
ARTd,-624.6843333,-0.028695241,Diastolic Blood Pressure (mmHg),3,0.040815278,-0.02045077,0.102081326,ARTd
ARTd,-623.3035,-0.251591725,Diastolic Blood Pressure (mmHg),3,0.0408772,-0.020436136,0.102190536,ARTd
ARTd,-622.3301667,-0.373070308,Diastolic Blood Pressure (mmHg),3,0.040910659,-0.020445983,0.102267301,ARTd
ARTd,-622.0023333,-0.028695241,Diastolic Blood Pressure (mmHg),3,0.04092004,-0.020452957,0.102293037,ARTd
ARTd,-621.473,0.138477121,Diastolic Blood Pressure (mmHg),3,0.040933184,-0.020468038,0.102334405,ARTd
ARTd,-620.8748333,-0.231902536,Diastolic Blood Pressure (mmHg),3,0.040945067,-0.020490678,0.102380813,ARTd
ARTd,-620.6136667,-0.102994069,Diastolic Blood Pressure (mmHg),3,0.04094927,-0.0205024,0.10240094,ARTd
ARTd,-619.5373333,-0.511637622,Diastolic Blood Pressure (mmHg),3,0.040960287,-0.020562268,0.102482842,ARTd
ARTd,-619.037,0.305649484,Diastolic Blood Pressure (mmHg),3,0.040961965,-0.020596314,0.102520245,ARTd
ARTd,-617.5906667,0.417097725,Diastolic Blood Pressure (mmHg),3,0.040954598,-0.020716239,0.102625436,ARTd
ARTd,-617.074,0.226892726,Diastolic Blood Pressure (mmHg),3,0.040947585,-0.02076663,0.102661799,ARTd
ARTd,-616.8525,-0.061015232,Diastolic Blood Pressure (mmHg),3,0.040943874,-0.020789423,0.102677171,ARTd
ARTd,-616.27,-0.2278161,Diastolic Blood Pressure (mmHg),3,0.040932104,-0.020852724,0.102716932,ARTd
ARTd,-615.8023333,0.132533215,Diastolic Blood Pressure (mmHg),3,0.04092055,-0.020907024,0.102748124,ARTd
ARTd,-615.3975,-0.326447794,Diastolic Blood Pressure (mmHg),3,0.040909038,-0.020956491,0.102774567,ARTd
ARTd,-614.685,0.29320443,Diastolic Blood Pressure (mmHg),3,0.040885384,-0.021049008,0.102819776,ARTd
ARTd,-614.1583333,-0.110052458,Diastolic Blood Pressure (mmHg),3,0.040865124,-0.021121791,0.10285204,ARTd
ARTd,-613.843,0.008454172,Diastolic Blood Pressure (mmHg),3,0.040851869,-0.021167127,0.102870865,ARTd
ARTd,-613.3373333,0.305649484,Diastolic Blood Pressure (mmHg),3,0.040828857,-0.021242537,0.102900251,ARTd
ARTd,-612.4931667,0.714293037,Diastolic Blood Pressure (mmHg),3,0.040785634,-0.021375732,0.102946999,ARTd
