wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
5,600,83.070333003,2.1260147945,82.38093978,2.1109155271,78.243608761,86.5182708,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,601,83.051406961,2.126034203,82.360983198,2.110935295,78.223613434,86.498352962,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,602,83.032428542,2.1260540859,82.340972667,2.1109555369,78.20356323,86.478382104,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,603,83.013398633,2.1260744453,82.320909102,2.110976255,78.183459058,86.458359146,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,604,82.994318122,2.1260952835,82.300793418,2.1109974514,78.163301829,86.438285007,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,605,82.975187896,2.1261166025,82.280626528,2.1110191284,78.143092453,86.418160603,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,606,82.956008843,2.1261384045,82.260409348,2.111041288,78.122831841,86.397986855,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,607,82.936781851,2.1261606915,82.240142791,2.1110639322,78.102520902,86.37776468,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,608,82.917507808,2.1261834655,82.219827772,2.1110870629,78.082160547,86.357494996,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,609,82.898187601,2.1262067284,82.199465205,2.111110682,78.061751688,86.337178722,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,610,82.878822119,2.126230482,82.179056005,2.1111347915,78.041295234,86.316816776,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,611,82.859412249,2.1262547282,82.158601086,2.1111593931,78.020792096,86.296410075,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,612,82.839958878,2.1262794688,82.138101362,2.1111844886,78.000243186,86.275959538,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,613,82.820462895,2.1263047055,82.117557748,2.1112100797,77.979649415,86.255466082,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,614,82.800925188,2.12633044,82.096971159,2.111236168,77.959011693,86.234930625,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,615,82.781346643,2.1263566737,82.076342507,2.1112627551,77.938330931,86.214354083,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,616,82.761728149,2.1263834085,82.055672709,2.1112898426,77.917608042,86.193737376,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,617,82.742070594,2.1264106456,82.034962678,2.111317432,77.896843937,86.173081419,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,618,82.722374865,2.1264383866,82.014213329,2.1113455246,77.876039527,86.152387131,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,619,82.702641851,2.1264666329,81.993425576,2.1113741219,77.855195724,86.131655427,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,620,82.682872438,2.1264953857,81.972600333,2.1114032252,77.83431344,86.110887226,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,621,82.663067515,2.1265246465,81.951738515,2.1114328358,77.813393586,86.090083444,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,622,82.643227969,2.1265544164,81.930841037,2.1114629548,77.792437075,86.069244998,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,623,82.623354688,2.1265846966,81.909908811,2.1114935835,77.771444819,86.048372804,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,624,82.60344856,2.1266154882,81.888942754,2.111524723,77.750417729,86.027467779,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,625,82.583510473,2.1266467923,81.867943779,2.1115563742,77.729356719,86.00653084,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,626,82.563541314,2.1266786099,81.846912801,2.1115885382,77.7082627,85.985562902,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,627,82.543541972,2.126710942,81.825850734,2.111621216,77.687136586,85.964564883,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,628,82.523513333,2.1267437894,81.804758493,2.1116544084,77.665979288,85.943537698,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,629,82.503456286,2.126777153,81.783636991,2.1116881162,77.64479172,85.922482262,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,630,82.483371719,2.1268110336,81.762487144,2.1117223403,77.623574795,85.901399493,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,631,82.463260518,2.1268454318,81.741309865,2.1117570813,77.602329425,85.880290306,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,632,82.443123573,2.1268803485,81.720106069,2.1117923399,77.581056523,85.859155616,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,633,82.42296177,2.1269157842,81.698876671,2.1118281166,77.559757004,85.837996339,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,634,82.402775998,2.1269517394,81.677622584,2.1118644121,77.538431779,85.81681339,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,635,82.382567144,2.1269882146,81.656344724,2.1119012269,77.517081763,85.795607685,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,636,82.362336097,2.1270252104,81.635044004,2.1119385613,77.495707868,85.77438014,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,637,82.342083743,2.127062727,81.613721339,2.1119764157,77.47431101,85.753131668,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,638,82.32181097,2.1271007649,81.592377643,2.1120147904,77.4528921,85.731863186,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,639,82.301518667,2.1271393242,81.571013831,2.1120536858,77.431452055,85.710575607,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,640,82.281207721,2.1271784052,81.549630817,2.112093102,77.409991786,85.689269848,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,641,82.260879019,2.1272180081,81.528229515,2.1121330391,77.388512209,85.667946822,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,642,82.240533451,2.127258133,81.50681084,2.1121734973,77.367014237,85.646607443,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,643,82.220171902,2.1272987798,81.485375706,2.1122144765,77.345498785,85.625252628,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,644,82.199795262,2.1273399486,81.463925028,2.1122559768,77.323966768,85.603883289,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,645,82.179404417,2.1273816393,81.44245972,2.112297998,77.302419099,85.582500341,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,646,82.159000256,2.1274238518,81.420980696,2.11234054,77.280856694,85.561104698,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,647,82.138583667,2.1274665859,81.399488871,2.1123836027,77.259280467,85.539697274,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,648,82.118155536,2.1275098412,81.377985159,2.1124271856,77.237691334,85.518278983,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
