TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
482,4,61.857135262,1.1355117867,58.361837412,1.076623446,56.251687322,60.471987501,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
483,4,61.853479101,1.1354504179,58.360226611,1.0765584511,56.250203909,60.470249313,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
484,4,61.849819051,1.1353889941,58.358614739,1.076493399,56.248719537,60.46850994,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
485,4,61.846155133,1.1353275423,58.357001801,1.0764283177,56.247234157,60.466769445,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
486,4,61.842487369,1.1352660894,58.355387803,1.0763632352,56.245747719,60.465027888,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
487,4,61.83881578,1.1352046627,58.353772753,1.0762981798,56.244260175,60.46328533,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
488,4,61.83514039,1.1351432893,58.352156654,1.0762331798,56.242771474,60.461541834,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
489,4,61.83146122,1.1350819968,58.350539514,1.0761682635,56.241281569,60.45979746,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
490,4,61.827778291,1.1350208126,58.348921339,1.0761034596,56.239790407,60.458052271,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
491,4,61.824091627,1.1349597643,58.347302134,1.0760387966,56.23829794,60.456306329,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
492,4,61.820401248,1.1348988795,58.345681906,1.0759743033,56.236804117,60.454559696,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
