DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
1,75,81.553020923,2.1061626366,80.745535365,2.0917165643,76.645833737,84.845236993,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,76,81.55059146,2.1061550814,80.743570645,2.0917094328,76.643882995,84.843258296,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,77,81.548303323,2.1061486875,80.741753185,2.0917034521,76.642077256,84.841429114,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,78,81.54615558,2.1061434066,80.74008201,2.0916985744,76.640415641,84.839748378,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,79,81.544147298,2.1061391915,80.738556145,2.0916947526,76.638897267,84.838215023,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,80,81.542277542,2.1061359959,80.737174616,2.0916919405,76.637521249,84.836827982,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,81,81.54054538,2.1061337746,80.735936448,2.0916900931,76.636286702,84.835586194,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,82,81.538949879,2.1061324833,80.734840667,2.0916891664,76.635192738,84.834488596,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,83,81.537490105,2.1061320785,80.733886299,2.091689117,76.634238466,84.833534131,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,84,81.536165126,2.1061325179,80.733072368,2.0916899028,76.633422996,84.83272174,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,85,81.534974008,2.10613376,80.732397901,2.0916914823,76.632745432,84.832050369,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,86,81.533915818,2.1061357641,80.731861922,2.0916938154,76.632204881,84.831518963,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
